sl_no,date,Name,Product_name,price
,,,,
1,17-Mar-2018,AJMER (F & V),APPLE  - सेब , 3360.00 / QUINTA
2,17-Mar-2018,AJMER (F & V),BANANA  - केला , 1472.00 / QUINTA
3,17-Mar-2018,AJMER (F & V),BRINJAL  - बैंगन , 996.00 / QUINTA
4,17-Mar-2018,AJMER (F & V),CABBAGE  - गोभी , 968.00 / QUINTA
5,17-Mar-2018,AJMER (F & V),CAPSICUM  - शिमला मिर्च , 2093.00 / QUINTA
6,17-Mar-2018,AJMER (F & V),CARROT  - गाजर , 1530.00 / QUINTA
7,17-Mar-2018,AJMER (F & V),CAULI FLOWER  - गोभी , 1131.00 / QUINTA
8,17-Mar-2018,AJMER (F & V),CHILLY  - चिल्ली , 1602.00 / QUINTA
9,17-Mar-2018,AJMER (F & V),CLUSTER BEANS  - ग्वार फली , 2520.00 / QUINTA
10,17-Mar-2018,AJMER (F & V),CUCUMBER  - खीरा , 714.00 / QUINTA
11,17-Mar-2018,AJMER (F & V),GARLIC  - लहसुन , 3956.00 / QUINTA
12,17-Mar-2018,AJMER (F & V),GINGER  - अदरक , 2670.00 / QUINTA
13,17-Mar-2018,AJMER (F & V),GRAPES  - अंगूर , 3520.00 / QUINTA
14,17-Mar-2018,AJMER (F & V),GREEN PEAS  - हरी मटर , 5655.00 / QUINTA
15,17-Mar-2018,AJMER (F & V),LEMON  - नींबू , 2392.00 / QUINTA
16,17-Mar-2018,AJMER (F & V),MOSAMBI  - मौसंबी , 2944.00 / QUINTA
17,17-Mar-2018,AJMER (F & V),OKRA (LADY FINGER)  - भिन्डी , 2436.00 / QUINTA
18,17-Mar-2018,AJMER (F & V),ONION  - प्याज , 2403.00 / QUINTA
19,17-Mar-2018,AJMER (F & V),PAPAYA  - पपीता , 1496.00 / QUINTA
20,17-Mar-2018,AJMER (F & V),PINE APPLE  - अनानास , 2720.00 / QUINTA
21,17-Mar-2018,AJMER (F & V),POME GRANATE  - अनार , 5096.00 / QUINTA
22,17-Mar-2018,AJMER (F & V),POTATO  - आलू , 473.00 / QUINTA
23,17-Mar-2018,AJMER (F & V),PUMPKIN  - कद्दू , 697.00 / QUINTA
24,17-Mar-2018,AJMER (F & V),RADDISH  - मूली , 585.00 / QUINTA
25,17-Mar-2018,AJMER (F & V),SAPOTA  - चीकू , 2520.00 / QUINTA
26,17-Mar-2018,AJMER (F & V),SUGARBEET  - मीठे चुक़ंदर , 1131.00 / QUINTA
,,,,
27,17-Mar-2018,AJMER (F & V),TOMATO  - टमाटर , 2184.00 / QUINTA
28,17-Mar-2018,AJMER (F & V),WATER MELON  - तरबूज , 1196.00 / QUINTA
29,17-Mar-2018,ALWAR,BAJRA SMALL  - छोटे बाजरा , 986.00 / QUINTA
30,17-Mar-2018,ALWAR,BARLEY  - जौ , 1210.00 / QUINTA
31,17-Mar-2018,ALWAR,GOWAR  - ग्वार , 2904.00 / QUINTA
32,17-Mar-2018,ALWAR,GRAM  - चना , 4005.00 / QUINTA
,,,,
33,17-Mar-2018,ALWAR,MAIZE WHITE  - सफेद मक्का , 1327.00 / QUINTA
34,17-Mar-2018,ALWAR,MUSTARD (LAHA)  - सरसों (laha) , 3018.00 / QUINTA
35,17-Mar-2018,ALWAR,TIL (WHITE)  - तिल (सफेद) , 5228.00 / QUINTA
36,17-Mar-2018,ALWAR,WHEAT 1482  - गेहूं 1482 , 1497.00 / QUINTA
37,17-Mar-2018,ANOOPGARH,BAJRA BOLD  - बाजरा बोल्ड , 1004.00 / QUINTA
38,17-Mar-2018,ANOOPGARH,BARLEY  - जौ , 1211.00 / QUINTA
39,17-Mar-2018,ANOOPGARH,GOWAR  - ग्वार , 3130.00 / QUINTA
40,17-Mar-2018,ANOOPGARH,GRAM  - चना , 3980.00 / QUINTA
41,17-Mar-2018,ANOOPGARH,KAPAS AMERICAN  - अमेरिकन कपास , 4079.00 / QUINTA
42,17-Mar-2018,ANOOPGARH,KAPAS DESHI  - कपास देशी , 4771.00 / QUINTA
43,17-Mar-2018,ANOOPGARH,MOONG (LOCAL)  - मूंग (स्थानीय) , 3663.00 / QUINTA
44,17-Mar-2018,ANOOPGARH,MUSTARD (LAHA)  - सरसों (laha) , 2829.00 / QUINTA
45,17-Mar-2018,ANOOPGARH,WHEAT 1482  - गेहूं 1482 , 1383.00 / QUINTA
46,17-Mar-2018,ASIND,JOWAR WHITE  - सफेद ज्वार , 1260.00 / QUINTA
47,17-Mar-2018,BADI,BAJRA SMALL  - छोटे बाजरा , 896.00 / QUINTA
48,17-Mar-2018,BADI,MUSTARD (LAHA)  - सरसों (laha) , 3401.00 / QUINTA
49,17-Mar-2018,BADI,TIL (WHITE)  - तिल (सफेद) , 5612.00 / QUINTA
50,17-Mar-2018,BADI,WHEAT 1482  - गेहूं 1482 , 1515.00 / QUINTA
51,17-Mar-2018,BANDIKUI,BAJRA BOLD  - बाजरा बोल्ड , 1010.00 / QUINTA
52,17-Mar-2018,BANDIKUI,BARLEY  - जौ , 979.00 / QUINTA
53,17-Mar-2018,BANDIKUI,GOWAR  - ग्वार , 2614.00 / QUINTA
54,17-Mar-2018,BANDIKUI,GRAM  - चना , 3978.00 / QUINTA
55,17-Mar-2018,BANDIKUI,JOWAR LOCAL  - ज्वार (लोकल) , 1531.00 / QUINTA
56,17-Mar-2018,BANDIKUI,MAIZE RED  - लाल मक्का , 1313.00 / QUINTA
57,17-Mar-2018,BANDIKUI,MUSTARD (LAHA)  - सरसों (laha) , 3234.00 / QUINTA
58,17-Mar-2018,BANDIKUI,TIL (GAJJAR)  - तिल (गज्जर) , 5514.00 / QUINTA
,,,,
59,17-Mar-2018,BANDIKUI,WHEAT MAXICAN  - गेहूं मैक्सिकन , 1481.00 / QUINTA
60,17-Mar-2018,BAYANA,BAJRA SMALL  - छोटे बाजरा , 968.00 / QUINTA
61,17-Mar-2018,BAYANA,GOWAR  - ग्वार , 2793.00 / QUINTA
62,17-Mar-2018,BAYANA,MUSTARD (LAHA)  - सरसों (laha) , 3358.00 / QUINTA
63,17-Mar-2018,BAYANA,TIL (WHITE)  - तिल (सफेद) , 5696.00 / QUINTA
64,17-Mar-2018,BAYANA,WHEAT 1482  - गेहूं 1482 , 1463.00 / QUINTA
,,,,
65,17-Mar-2018,BEAWAR,BAJRA BOLD  - बाजरा बोल्ड , 1127.00 / QUINTA
66,17-Mar-2018,BEAWAR,GRAM  - चना , 3959.00 / QUINTA
67,17-Mar-2018,BEAWAR,JOWAR WHITE  - सफेद ज्वार , 1740.00 / QUINTA
68,17-Mar-2018,BEAWAR,KAPAS AMERICAN  - अमेरिकन कपास , 4038.00 / QUINTA
69,17-Mar-2018,BEAWAR,MAIZE RED  - लाल मक्का , 1398.00 / QUINTA
70,17-Mar-2018,BEAWAR,MOONG (LOCAL)  - मूंग (स्थानीय) , 3560.00 / QUINTA
71,17-Mar-2018,BEAWAR,MUSTARD (LAHA)  - सरसों (laha) , 3146.00 / QUINTA
72,17-Mar-2018,BEAWAR,URAD (LOCAL)  - उड़द (स्थानीय) , 2763.00 / QUINTA
73,17-Mar-2018,BHADRA,GOWAR  - ग्वार , 3047.00 / QUINTA
74,17-Mar-2018,BHADRA,MOONG (LOCAL)  - मूंग (स्थानीय) , 3060.00 / QUINTA
75,17-Mar-2018,BHADRA,MOTH  - मोठ , 2587.00 / QUINTA
76,17-Mar-2018,BHARATPUR,BAJRA SMALL  - छोटे बाजरा , 943.00 / QUINTA
77,17-Mar-2018,BHARATPUR,BARLEY  - जौ , 1204.00 / QUINTA
78,17-Mar-2018,BHARATPUR,GOWAR  - ग्वार , 2735.00 / QUINTA
79,17-Mar-2018,BHARATPUR,MUSTARD (LAHA)  - सरसों (laha) , 3212.00 / QUINTA
80,17-Mar-2018,BHARATPUR,WHEAT 1482  - गेहूं 1482 , 1378.00 / QUINTA
81,17-Mar-2018,BHILWARA,BARLEY  - जौ , 1227.00 / QUINTA
82,17-Mar-2018,BHILWARA,GOWAR  - ग्वार , 2826.00 / QUINTA
83,17-Mar-2018,BHILWARA,GROUNDNUT (WHITE)  - मूंगफली (सफेद) , 2352.00 / QUINTA
84,17-Mar-2018,BHILWARA,JOWAR WHITE  - सफेद ज्वार , 1041.00 / QUINTA
85,17-Mar-2018,BHILWARA,MAIZE RED  - लाल मक्का , 1296.00 / QUINTA
86,17-Mar-2018,BHILWARA,MOONG (LOCAL)  - मूंग (स्थानीय) , 2520.00 / QUINTA
87,17-Mar-2018,BHILWARA,MUSTARD (LAHA)  - सरसों (laha) , 2759.00 / QUINTA
88,17-Mar-2018,BHILWARA,URAD (LOCAL)  - उड़द (स्थानीय) , 2990.00 / QUINTA
89,17-Mar-2018,BHILWARA,WHEAT MAXICAN  - गेहूं मैक्सिकन , 1502.00 / QUINTA
90,17-Mar-2018,BIJAYNAGAR,GOWAR  - ग्वार , 2975.00 / QUINTA
,,,,
91,17-Mar-2018,BIJAYNAGAR,JOWAR WHITE  - सफेद ज्वार , 1232.00 / QUINTA
92,17-Mar-2018,BIJAYNAGAR,KAPAS AMERICAN  - अमेरिकन कपास , 4508.00 / QUINTA
93,17-Mar-2018,BIJAYNAGAR,MAIZE RED  - लाल मक्का , 1291.00 / QUINTA
94,17-Mar-2018,BIJAYNAGAR,MOONG (LOCAL)  - मूंग (स्थानीय) , 3600.00 / QUINTA
95,17-Mar-2018,BIJAYNAGAR,URAD (LOCAL)  - उड़द (स्थानीय) , 3306.00 / QUINTA
96,17-Mar-2018,BIJAYNAGAR,WHEAT MAXICAN  - गेहूं मैक्सिकन , 1335.00 / QUINTA
,,,,
97,17-Mar-2018,BIKANER (GRAIN),GOWAR  - ग्वार , 3146.00 / QUINTA
98,17-Mar-2018,BIKANER (GRAIN),GRAM  - चना , 4371.00 / QUINTA
99,17-Mar-2018,BIKANER (GRAIN),GROUNDNUT (WHITE)  - मूंगफली (सफेद) , 3346.00 / QUINTA
100,17-Mar-2018,BIKANER (GRAIN),METHI  - मेथी , 2076.00 / QUINTA
101,17-Mar-2018,BIKANER (GRAIN),MOONG (LOCAL)  - मूंग (स्थानीय) , 4054.00 / QUINTA
102,17-Mar-2018,BIKANER (GRAIN),MOTH  - मोठ , 3014.00 / QUINTA
103,17-Mar-2018,BIKANER (GRAIN),MUSTARD (LAHA)  - सरसों (laha) , 2969.00 / QUINTA
104,17-Mar-2018,BIKANER (GRAIN),TIL (GAJJAR)  - तिल (गज्जर) , 4731.00 / QUINTA
105,17-Mar-2018,BUNDI,BARLEY  - जौ , 1038.00 / QUINTA
106,17-Mar-2018,BUNDI,DHANIA BOLD  - धनिया बोल्ड , 2690.00 / QUINTA
107,17-Mar-2018,BUNDI,MAIZE RED  - लाल मक्का , 930.00 / QUINTA
108,17-Mar-2018,BUNDI,MASUR  - मसूर , 2849.00 / QUINTA
109,17-Mar-2018,BUNDI,METHI  - मेथी , 1653.00 / QUINTA
110,17-Mar-2018,BUNDI,MUSTARD (LAHA)  - सरसों (laha) , 2845.00 / QUINTA
111,17-Mar-2018,BUNDI,PADDY (LOCAL)  - धान (स्थानीय) , 2145.00 / QUINTA
112,17-Mar-2018,BUNDI,SOYABEAN YELLOW  - पीला सोयाबीन , 2330.00 / QUINTA
113,17-Mar-2018,BUNDI,WHEAT MAXICAN  - गेहूं मैक्सिकन , 1492.00 / QUINTA
114,17-Mar-2018,CHOMU,BAJRA BOLD  - बाजरा बोल्ड , 995.00 / QUINTA
115,17-Mar-2018,CHOMU,GOWAR  - ग्वार , 2671.00 / QUINTA
116,17-Mar-2018,CHOMU,GRAM  - चना , 4505.00 / QUINTA
117,17-Mar-2018,CHOMU,GROUNDNUT (WHITE)  - मूंगफली (सफेद) , 3915.00 / QUINTA
118,17-Mar-2018,CHOMU,MAIZE RED  - लाल मक्का , 1050.00 / QUINTA
119,17-Mar-2018,CHOMU,MOONG (LOCAL)  - मूंग (स्थानीय) , 4868.00 / QUINTA
120,17-Mar-2018,CHOMU,MUSTARD (LAHA)  - सरसों (laha) , 2973.00 / QUINTA
121,17-Mar-2018,CHOMU,TARAMIRA  - तारामीरा  , 3049.00 / QUINTA
122,17-Mar-2018,CHOMU,WHEAT MAXICAN  - गेहूं मैक्सिकन , 1382.00 / QUINTA
,,,,
123,17-Mar-2018,CHURU,MOONG (LOCAL)  - मूंग (स्थानीय) , 3569.00 / QUINTA
124,17-Mar-2018,DEEG,BAJRA SMALL  - छोटे बाजरा , 921.00 / QUINTA
125,17-Mar-2018,DEEG,GOWAR  - ग्वार , 2994.00 / QUINTA
126,17-Mar-2018,DEEG,MUSTARD (LAHA)  - सरसों (laha) , 3319.00 / QUINTA
127,17-Mar-2018,DEEG,WHEAT 1482  - गेहूं 1482 , 1465.00 / QUINTA
128,17-Mar-2018,DEOLI,BAJRA BOLD  - बाजरा बोल्ड , 937.00 / QUINTA
,,,,
129,17-Mar-2018,DEOLI,BARLEY  - जौ , 1192.00 / QUINTA
130,17-Mar-2018,DEOLI,CHAULA  - छोला , 3486.00 / QUINTA
131,17-Mar-2018,DEOLI,GOWAR  - ग्वार , 2675.00 / QUINTA
132,17-Mar-2018,DEOLI,JOWAR WHITE  - सफेद ज्वार , 1251.00 / QUINTA
133,17-Mar-2018,DEOLI,MAIZE RED  - लाल मक्का , 1113.00 / QUINTA
134,17-Mar-2018,DEOLI,MASUR  - मसूर , 2784.00 / QUINTA
135,17-Mar-2018,DEOLI,MOONG (LOCAL)  - मूंग (स्थानीय) , 3402.00 / QUINTA
136,17-Mar-2018,DEOLI,MUSTARD (LAHA)  - सरसों (laha) , 3026.00 / QUINTA
137,17-Mar-2018,DEOLI,SOYABEAN YELLOW  - पीला सोयाबीन , 2193.00 / QUINTA
138,17-Mar-2018,DEOLI,URAD (LOCAL)  - उड़द (स्थानीय) , 2688.00 / QUINTA
139,17-Mar-2018,DEOLI,WHEAT MAXICAN  - गेहूं मैक्सिकन , 1350.00 / QUINTA
140,17-Mar-2018,DHOLPUR,BAJRA SMALL  - छोटे बाजरा , 907.00 / QUINTA
141,17-Mar-2018,DUNGARGARH,GOWAR  - ग्वार , 2889.00 / QUINTA
142,17-Mar-2018,DUNGARGARH,GROUNDNUT (WHITE)  - मूंगफली (सफेद) , 3268.00 / QUINTA
143,17-Mar-2018,DUNGARGARH,MOTH  - मोठ , 2731.00 / QUINTA
144,17-Mar-2018,GAJSINGHPUR,GOWAR  - ग्वार , 2899.00 / QUINTA
145,17-Mar-2018,GAJSINGHPUR,GRAM  - चना , 4221.00 / QUINTA
146,17-Mar-2018,GAJSINGHPUR,KAPAS AMERICAN  - अमेरिकन कपास , 3769.00 / QUINTA
147,17-Mar-2018,GAJSINGHPUR,KAPAS DESHI  - कपास देशी , 5418.00 / QUINTA
148,17-Mar-2018,GAJSINGHPUR,MOONG (LOCAL)  - मूंग (स्थानीय) , 3571.00 / QUINTA
149,17-Mar-2018,GAJSINGHPUR,MUSTARD (LAHA)  - सरसों (laha) , 3002.00 / QUINTA
150,17-Mar-2018,GAJSINGHPUR,WHEAT 1482  - गेहूं 1482 , 1352.00 / QUINTA
151,17-Mar-2018,GANGAPUR,JOWAR WHITE  - सफेद ज्वार , 1100.00 / QUINTA
152,17-Mar-2018,GANGAPUR,KAPAS AMERICAN  - अमेरिकन कपास , 3743.00 / QUINTA
153,17-Mar-2018,GANGAPUR,MAIZE RED  - लाल मक्का , 1032.00 / QUINTA
154,17-Mar-2018,GANGAPUR,WHEAT MAXICAN  - गेहूं मैक्सिकन , 1402.00 / QUINTA
,,,,
155,17-Mar-2018,GHARSANA,GOWAR  - ग्वार , 2888.00 / QUINTA
156,17-Mar-2018,GHARSANA,GRAM  - चना , 4185.00 / QUINTA
157,17-Mar-2018,GHARSANA,KAPAS AMERICAN  - अमेरिकन कपास , 3915.00 / QUINTA
158,17-Mar-2018,GHARSANA,KAPAS DESHI  - कपास देशी , 4559.00 / QUINTA
159,17-Mar-2018,GHARSANA,MOONG (LOCAL)  - मूंग (स्थानीय) , 3698.00 / QUINTA
160,17-Mar-2018,GHARSANA,MUSTARD (LAHA)  - सरसों (laha) , 2881.00 / QUINTA
,,,,
161,17-Mar-2018,GHARSANA,WHEAT 1482  - गेहूं 1482 , 1459.00 / QUINTA
162,17-Mar-2018,GOLUWALA,GOWAR  - ग्वार , 3115.00 / QUINTA
163,17-Mar-2018,GOLUWALA,GRAM  - चना , 3976.00 / QUINTA
164,17-Mar-2018,GOLUWALA,KAPAS AMERICAN  - अमेरिकन कपास , 4199.00 / QUINTA
165,17-Mar-2018,GOLUWALA,MOONG (LOCAL)  - मूंग (स्थानीय) , 3828.00 / QUINTA
166,17-Mar-2018,GOLUWALA,MUSTARD (LAHA)  - सरसों (laha) , 3166.00 / QUINTA
167,17-Mar-2018,HANUMANGARH,GOWAR  - ग्वार , 3109.00 / QUINTA
168,17-Mar-2018,HANUMANGARH,GRAM  - चना , 3864.00 / QUINTA
169,17-Mar-2018,HANUMANGARH,GROUNDNUT (WHITE)  - मूंगफली (सफेद) , 2919.00 / QUINTA
170,17-Mar-2018,HANUMANGARH,KAPAS AMERICAN  - अमेरिकन कपास , 4042.00 / QUINTA
171,17-Mar-2018,HANUMANGARH,KAPAS DESHI  - कपास देशी , 2469.00 / QUINTA
172,17-Mar-2018,HANUMANGARH,MOONG (LOCAL)  - मूंग (स्थानीय) , 3403.00 / QUINTA
173,17-Mar-2018,HANUMANGARH,PADDY (LOCAL)  - धान (स्थानीय) , 2390.00 / QUINTA
174,17-Mar-2018,HANUMANGARH,WHEAT MAXICAN  - गेहूं मैक्सिकन , 1463.00 / QUINTA
175,17-Mar-2018,IKLERA,DHANIA BOLD  - धनिया बोल्ड , 3444.00 / QUINTA
176,17-Mar-2018,IKLERA,MAIZE WHITE  - सफेद मक्का , 930.00 / QUINTA
177,17-Mar-2018,IKLERA,MUSTARD (LAHA)  - सरसों (laha) , 2915.00 / QUINTA
178,17-Mar-2018,IKLERA,SOYABEAN YELLOW  - पीला सोयाबीन , 2195.00 / QUINTA
179,17-Mar-2018,IKLERA,URAD (LOCAL)  - उड़द (स्थानीय) , 2306.00 / QUINTA
180,17-Mar-2018,IKLERA,WHEAT MAXICAN  - गेहूं मैक्सिकन , 1291.00 / QUINTA
181,17-Mar-2018,JAIPUR (F & V),APPLE  - सेब , 6665.00 / QUINTA
182,17-Mar-2018,JAIPUR (F & V),BANANA  - केला , 1710.00 / QUINTA
183,17-Mar-2018,JAIPUR (F & V),BOTTLE GOURD  - लौकी , 1376.00 / QUINTA
184,17-Mar-2018,JAIPUR (F & V),BRINJAL  - बैंगन , 1333.00 / QUINTA
185,17-Mar-2018,JAIPUR (F & V),CABBAGE  - गोभी , 1440.00 / QUINTA
186,17-Mar-2018,JAIPUR (F & V),CAPSICUM  - शिमला मिर्च , 3613.00 / QUINTA
,,,,
187,17-Mar-2018,JAIPUR (F & V),CAULI FLOWER  - गोभी , 1150.00 / QUINTA
188,17-Mar-2018,JAIPUR (F & V),CORIANDER(LV)  - धनिया (LV) , 2893.00 / QUINTA
189,17-Mar-2018,JAIPUR (F & V),CUCUMBER  - खीरा , 1575.00 / QUINTA
190,17-Mar-2018,JAIPUR (F & V),GARLIC  - लहसुन , 2310.00 / QUINTA
191,17-Mar-2018,JAIPUR (F & V),GINGER  - अदरक , 2168.00 / QUINTA
192,17-Mar-2018,JAIPUR (F & V),LEMON  - नींबू , 2139.00 / QUINTA
,,,,
193,17-Mar-2018,JAIPUR (F & V),MOSAMBI  - मौसंबी , 3071.00 / QUINTA
194,17-Mar-2018,JAIPUR (F & V),OKRA (LADY FINGER)  - भिन्डी , 1764.00 / QUINTA
195,17-Mar-2018,JAIPUR (F & V),ONION  - प्याज , 2275.00 / QUINTA
196,17-Mar-2018,JAIPUR (F & V),ORANGE  - नारंगी , 3413.00 / QUINTA
197,17-Mar-2018,JAIPUR (F & V),PAPAYA  - पपीता , 1419.00 / QUINTA
198,17-Mar-2018,JAIPUR (F & V),POME GRANATE  - अनार , 6163.00 / QUINTA
199,17-Mar-2018,JAIPUR (F & V),POTATO  - आलू , 323.00 / QUINTA
200,17-Mar-2018,JAIPUR (F & V),PUMPKIN  - कद्दू , 588.00 / QUINTA
201,17-Mar-2018,JAIPUR (F & V),SAPOTA  - चीकू , 2548.00 / QUINTA
202,17-Mar-2018,JAIPUR (F & V),SPINACH  - पालक , 546.00 / QUINTA
203,17-Mar-2018,JAIPUR (F & V),TOMATO  - टमाटर , 2852.00 / QUINTA
204,17-Mar-2018,JAIPUR (GRAIN),ARHAR (LOCAL)  - अरहर (स्थानीय) , 4094.00 / QUINTA
205,17-Mar-2018,JAIPUR (GRAIN),BAJRA BOLD  - बाजरा बोल्ड , 965.00 / QUINTA
206,17-Mar-2018,JAIPUR (GRAIN),BARLEY  - जौ , 1268.00 / QUINTA
207,17-Mar-2018,JAIPUR (GRAIN),CHILLIES DRY  - सूखी मिर्च , 5670.00 / QUINTA
